Owner,Repo,Stars,Forks,Language,URL
tensorflow,tfjs-converter,706,144,TypeScript,https://github.com/tensorflow/tfjs-converter
tensorflow,tfjs-core,8459,945,TypeScript,https://github.com/tensorflow/tfjs-core
tensorflow,tfjs-data,66,34,TypeScript,https://github.com/tensorflow/tfjs-data
tensorflow,tfjs-examples,6749,2357,JavaScript,https://github.com/tensorflow/tfjs-examples
tensorflow,tfjs-layers,279,95,TypeScript,https://github.com/tensorflow/tfjs-layers
tensorflow,tfjs-models,14653,4396,TypeScript,https://github.com/tensorflow/tfjs-models
tensorflow,tfjs-node,1056,116,TypeScript,https://github.com/tensorflow/tfjs-node
tensorflow,tfjs-tsne,317,56,TypeScript,https://github.com/tensorflow/tfjs-tsne
tensorflow,tfjs-vis,368,91,TypeScript,https://github.com/tensorflow/tfjs-vis
tensorflow,tfjs-website,73,104,CSS,https://github.com/tensorflow/tfjs-website
tensorflow,tfjs-wechat,569,107,TypeScript,https://github.com/tensorflow/tfjs-wechat
tensorflow,tflite-micro,2505,941,C++,https://github.com/tensorflow/tflite-micro
tensorflow,tflite-micro-arduino-examples,256,104,C++,https://github.com/tensorflow/tflite-micro-arduino-examples
tensorflow,tflite-support,426,140,C++,https://github.com/tensorflow/tflite-support
tensorflow,tfrc,24,12,,https://github.com/tensorflow/tfrc
tensorflow,tfx,2165,724,Python,https://github.com/tensorflow/tfx
tensorflow,tfx-addons,128,63,Jupyter Notebook,https://github.com/tensorflow/tfx-addons
tensorflow,tfx-bsl,65,62,Python,https://github.com/tensorflow/tfx-bsl
tensorflow,toolchains,19,22,Starlark,https://github.com/tensorflow/toolchains
tensorflow,tpu,5256,1764,Jupyter Notebook,https://github.com/tensorflow/tpu
tensorflow,transform,988,222,Python,https://github.com/tensorflow/transform
tensorflow,workshops,1443,675,Jupyter Notebook,https://github.com/tensorflow/workshops
pytorch,accimage,319,38,C,https://github.com/pytorch/accimage
pytorch,add-annotations-github-action,14,12,JavaScript,https://github.com/pytorch/add-annotations-github-action
pytorch,alerting-infra,2,0,TypeScript,https://github.com/pytorch/alerting-infra
pytorch,android-demo-app,1547,625,Java,https://github.com/pytorch/android-demo-app
pytorch,ao,2384,341,Python,https://github.com/pytorch/ao
pytorch,audio,2746,728,Python,https://github.com/pytorch/audio
pytorch,benchmark,989,322,Python,https://github.com/pytorch/benchmark
pytorch,builder,354,230,Python,https://github.com/pytorch/builder
pytorch,caffe2.github.io,3,8,HTML,https://github.com/pytorch/caffe2.github.io
pytorch,ci-hud,13,24,JavaScript,https://github.com/pytorch/ci-hud
pytorch,ci-infra,14,4,HCL,https://github.com/pytorch/ci-infra
pytorch,contrib,392,44,Python,https://github.com/pytorch/contrib
pytorch,cppdocs,237,37,HTML,https://github.com/pytorch/cppdocs
pytorch,cpuinfo,1125,374,C,https://github.com/pytorch/cpuinfo
pytorch,docs,9,4,HTML,https://github.com/pytorch/docs
pytorch,dr-ci,2,8,Haskell,https://github.com/pytorch/dr-ci
pytorch,elastic,730,100,Python,https://github.com/pytorch/elastic
pytorch,ELF,3403,569,C++,https://github.com/pytorch/ELF
pytorch,examples,23436,9752,Python,https://github.com/pytorch/examples
pytorch,executorch,3274,675,Python,https://github.com/pytorch/executorch
pytorch,expecttest,83,9,Python,https://github.com/pytorch/expecttest
pytorch,extension-cpp,1149,243,Python,https://github.com/pytorch/extension-cpp
pytorch,extension-ffi,256,70,Python,https://github.com/pytorch/extension-ffi
pytorch,extension-script,114,23,Python,https://github.com/pytorch/extension-script
pytorch,FBGEMM,1446,654,C++,https://github.com/pytorch/FBGEMM
pytorch,functorch,1437,105,Jupyter Notebook,https://github.com/pytorch/functorch
pytorch,gloo,1357,340,C++,https://github.com/pytorch/gloo
pytorch,glow,3314,699,C++,https://github.com/pytorch/glow
pytorch,helion,323,31,Python,https://github.com/pytorch/helion
pytorch,hub,1428,247,Python,https://github.com/pytorch/hub
pytorch,ignite,4701,654,Python,https://github.com/pytorch/ignite
pytorch,ios-demo-app,610,192,Swift,https://github.com/pytorch/ios-demo-app
pytorch,java-demo,130,23,Jupyter Notebook,https://github.com/pytorch/java-demo
pytorch,kineto,874,206,HTML,https://github.com/pytorch/kineto
pytorch,labeler-github-action,2,7,TypeScript,https://github.com/pytorch/labeler-github-action
pytorch,maskedtensor,38,12,Python,https://github.com/pytorch/maskedtensor
pytorch,nestedtensor,251,27,Jupyter Notebook,https://github.com/pytorch/nestedtensor
pytorch,ort,364,53,Python,https://github.com/pytorch/ort
pytorch,ossci-job-dsl,10,33,Groovy,https://github.com/pytorch/ossci-job-dsl
pytorch,PiPPy,780,88,Python,https://github.com/pytorch/PiPPy
pytorch,probot,12,13,TypeScript,https://github.com/pytorch/probot
pytorch,pytorch,93635,25455,Python,https://github.com/pytorch/pytorch
pytorch,pytorch-ci-dockerfiles,4,8,,https://github.com/pytorch/pytorch-ci-dockerfiles
pytorch,pytorch-integration-testing,12,18,Makefile,https://github.com/pytorch/pytorch-integration-testing
pytorch,pytorch.github.io,263,311,HTML,https://github.com/pytorch/pytorch.github.io
pytorch,pytorch_sphinx_theme,102,143,CSS,https://github.com/pytorch/pytorch_sphinx_theme
pytorch,QNNPACK,1546,221,C,https://github.com/pytorch/QNNPACK
pytorch,rfcs,135,83,,https://github.com/pytorch/rfcs
pytorch,rl,3074,410,Python,https://github.com/pytorch/rl
pytorch,sccache,1,2,Rust,https://github.com/pytorch/sccache
pytorch,serve,4350,886,Java,https://github.com/pytorch/serve
pytorch,tensordict,968,100,Python,https://github.com/pytorch/tensordict
pytorch,tensorpipe,273,77,C++,https://github.com/pytorch/tensorpipe
pytorch,TensorRT,2869,370,Python,https://github.com/pytorch/TensorRT
pytorch,test-infra,101,103,TypeScript,https://github.com/pytorch/test-infra
pytorch,text,3559,813,Python,https://github.com/pytorch/text
pytorch,torcharrow,645,81,Python,https://github.com/pytorch/torcharrow
pytorch,torchchat,3615,251,Python,https://github.com/pytorch/torchchat
pytorch,torchdistx,117,33,Python,https://github.com/pytorch/torchdistx
pytorch,torchdynamo,1063,128,Python,https://github.com/pytorch/torchdynamo
pytorch,torchhub_testing,4,1,,https://github.com/pytorch/torchhub_testing
pytorch,torchtitan,4486,541,Python,https://github.com/pytorch/torchtitan
pytorch,translate,833,194,Python,https://github.com/pytorch/translate
pytorch,tutorials,8813,4258,Python,https://github.com/pytorch/tutorials
pytorch,tvm,454,64,C++,https://github.com/pytorch/tvm
pytorch,vision,17184,7158,Python,https://github.com/pytorch/vision
pytorch,xla,2688,565,Python,https://github.com/pytorch/xla
huggingface,100-times-faster-nlp,338,76,HTML,https://github.com/huggingface/100-times-faster-nlp
huggingface,101-course,10,4,,https://github.com/huggingface/101-course
huggingface,accelerate,9177,1210,Python,https://github.com/huggingface/accelerate
huggingface,accelerate-wip,19,2,Python,https://github.com/huggingface/accelerate-wip
huggingface,action-check-commits,1,0,TypeScript,https://github.com/huggingface/action-check-commits
huggingface,adversarialnlp,41,8,Python,https://github.com/huggingface/adversarialnlp
huggingface,agent-critical-assessment,0,0,,https://github.com/huggingface/agent-critical-assessment
huggingface,AgentLite,1,0,,https://github.com/huggingface/AgentLite
huggingface,agents-course,22755,1587,MDX,https://github.com/huggingface/agents-course
huggingface,ai-blueprint,59,5,Jupyter Notebook,https://github.com/huggingface/ai-blueprint
huggingface,ai-deadlines,284,51,TypeScript,https://github.com/huggingface/ai-deadlines
huggingface,ai-hardware-leaderboard,1,1,Python,https://github.com/huggingface/ai-hardware-leaderboard
huggingface,AIEnergyScore,29,6,Python,https://github.com/huggingface/AIEnergyScore
huggingface,aisheets,1487,125,TypeScript,https://github.com/huggingface/aisheets
huggingface,alignment-handbook,5384,459,Python,https://github.com/huggingface/alignment-handbook
